chgis_sys_id	dila_pl_id	match_method	delta_lat	delta_lon	name
200482	PL000000041613	name-only			同普縣
200483	PL000000037670	name-only			白玉州
96032	PL000000046578	name-only			安樂縣
96349	PL000000035255	name-only			敘永廳
96124	PL000000017172	name-only			羅江縣
96125	PL000000017172	name-only			羅江縣
200239	PL000000017172	name-only			羅江縣
200240	PL000000057416	name-only			金山縣
200258	PL000000037365	name-only			保縣
200259	PL000000037365	name-only			保縣
96155	PL000000035050	name-only			火井縣
96156	PL000000035050	name-only			火井縣
96157	PL000000035050	name-only			火井縣
200266	PL000000034963	name-only			惠民監
200286	PL000000037752	name-only			閏鹽
200297	PL000000037819	name-only			昭覺縣
200298	PL000000037777	name-only			威龍州
200306	PL000000037901	name-only			中縣
200311	PL000000037813	name-only			闊州
200313	PL000000037698	name-only			禮州
200317	PL000000037803	name-only			黎溪州
200351	PL000000036761	name-only			淯井監
200357	PL000000036784	name-only			高縣
200359	PL000000036784	name-only			高縣
200372	PL000000036083	name-only			馬邊廳
200376	PL000000037898	name-only			雷波廳
200385	PL000000038575	name-only			黔西州
200388	PL000000038004	name-only			水城廳
70987	PL000000058510	name-only			南鄭縣
200489	PL000000039566	name-only			騰越廳
200455	PL000000038746	name-only			台拱廳
200456	PL000000038740	name-only			清江廳
200459	PL000000038791	name-only			古州廳
200460	PL000000038804	name-only			下江廳
43778	PL000000032417	name-only			龍勝廳
43786	PL000000039482	name-only			新平縣
43829	PL000000033565	name-only			武化縣
43830	PL000000033565	name-only			武化縣
43857	PL000000021163	name-only			橫縣
43888	PL000000033812	name-only			石西州
43894	PL000000033761	name-only			萬形州
43896	PL000000033659	name-only			談州
43897	PL000000033660	name-only			譚州
43903	PL000000033093	name-only			功饒州
43921	PL000000033174	name-only			臨賀縣
43923	PL000000033174	name-only			臨賀縣
43924	PL000000033174	name-only			臨賀縣
43926	PL000000033235	name-only			蕩山縣
43960	PL000000031912	name-only			正義縣
43964	PL000000035931	name-only			龍水縣
43984	PL000000032156	name-only			思順州
43986	PL000000033500	name-only			述昆州
43989	PL000000033499	name-only			琳州
44010	PL000000033409	name-only			撫水州
44025	PL000000032031	name-only			南丹衛
44027	PL000000033562	name-only			紆州
44035	PL000000033561	name-only			歸思州
44036	PL000000033365	name-only			思農州
44039	PL000000033429	name-only			永順司
44041	PL000000033445	name-only			永安司
44042	PL000000033447	name-only			永順副司
44050	PL000000032031	name-only			南丹衛
44051	PL000000032031	name-only			南丹衛
44080	PL000000033744	name-only			思城州
44082	PL000000033021	name-only			百色廳
44086	PL000000033126	name-only			泗城府
44093	PL000000033151	name-only			路程州
44094	PL000000033138	name-only			路城州
44096	PL000000033323	name-only			羅博州
44108	PL000000033689	name-only			寧明州
44109	PL000000033689	name-only			寧明州
44112	PL000000033696	name-only			明江廳
44113	PL000000033696	name-only			明江廳
44139	PL000000033718	name-only			龍州廳
44167	PL000000029770	name-only			義昌縣
44202	PL000000031148	name-only			永固縣
44203	PL000000031148	name-only			永固縣
44209	PL000000032853	name-only			武靖州
44236	PL000000002716	name-only			懷安縣
44300	PL000000032786	name-only			向武所
44311	PL000000033121	name-only			小鎮安廳
43823	PL000000055233	name-only			武安縣
43934	PL000000020040	name-only			永豐縣
43935	PL000000020040	name-only			永豐縣
40164	PL000000017174	name-only			冶縣
40179	PL000000002716	name-only			懷安縣
40180	PL000000002716	name-only			懷安縣
40181	PL000000002716	name-only			懷安縣
40192	PL000000023582	name-only			永昌縣
40194	PL000000017494	name-only			福清縣
40196	PL000000017494	name-only			福清縣
40197	PL000000017494	name-only			福清縣
40198	PL000000017494	name-only			福清縣
40203	PL000000023582	name-only			永昌縣
40211	PL000000017263	name-only			永泰縣
40213	PL000000017172	name-only			羅江縣
40236	PL000000007819	name-only			建平縣
40237	PL000000018364	name-only			建陽縣
40238	PL000000018364	name-only			建陽縣
40239	PL000000018364	name-only			建陽縣
40241	PL000000018364	name-only			建陽縣
